,total_return,ann_return,max_drawdown,n_trades,win_rate,avg_winner,avg_loser,avg_trade,t_stat,avg_invested,entry_rate,ctl_n_trades_median,ctl_median_total,pct_vs_controls
dev,1.912067017819158,0.09328825726532308,-0.5493832410509017,531.0,0.4519774011299435,0.14533068994825818,-0.04219951044362895,0.04255990216287372,7.619742944286869,0.7489454401375321,0.06520137524557956,467.0,0.8465631660416543,0.975
test,1.2524719646750886,0.11234211479333056,-0.34196185425885794,411.0,0.4257907542579075,0.15010665989982253,-0.04738387963521273,0.03670576615221102,5.656591388298973,0.777196597462496,0.07229551451187335,357.0,1.5239221191362096,0.365
