,total_return,ann_return,max_drawdown,n_trades,win_rate,avg_winner,avg_loser,avg_trade,t_stat,avg_invested,entry_rate,ctl_n_trades_median,ctl_median_total,ctl_p25_total,ctl_p75_total,pct_vs_controls
dev,0.07464575893208458,0.006025282186946868,-0.15708293967242604,104.0,0.33653846153846156,0.15538406168250282,-0.06631990217420375,0.008292008739110965,0.6315802392371782,0.13281997064609347,0.005455308434746118,107.0,0.037477282728528016,-0.024484496482659046,0.13007161231227882,0.625
test,-0.2372857472900365,-0.03489167689715966,-0.2517895029069135,76.0,0.23684210526315788,0.09835542391951009,-0.07632040791154995,-0.034949816162088365,-2.976888440865533,0.10669348805075612,0.0056564453706460256,75.0,0.040242225342157045,-0.06053622130795713,0.13011915074458186,0.0
