,total,cagr,maxdd,mar,n_buys,avg_hold_y,pct_vs_controls,ctl_median
dev,2.755039353391254,0.11672943701742278,-0.12157496930760081,0.9601436684066258,66.0,0.9392446633825944,0.8,2.424164054506054
test,1.2577481502265995,0.11268338994508809,-0.24179646647692132,0.4660257926301969,53.0,0.6722222222222223,0.885,0.9323450591090836
