date,mean_cash,days_flat,days_fully_in
2007,0.08237876909573963,0.00398406374501992,0.2749003984063745
2008,0.9001280711198146,0.758893280632411,0.0
2009,0.5116807060716715,0.4246031746031746,0.051587301587301584
2010,0.25471543311071393,0.0,0.07936507936507936
2011,0.3305014809924651,0.23015873015873015,0.21428571428571427
2012,0.07201442397838892,0.0,0.344
2013,0.09066506912543655,0.0,0.15476190476190477
2014,0.10885896065930553,0.0,0.34523809523809523
2015,0.24783213380712885,0.07936507936507936,0.08333333333333333
2016,0.22600170563199315,0.09523809523809523,0.11904761904761904
2017,0.0929425312375055,0.0,0.15139442231075698
2018,0.21997769803334158,0.01593625498007968,0.2151394422310757
2019,0.1711255303777583,0.09126984126984126,0.23015873015873015
2020,0.29515354061786275,0.2015810276679842,0.14624505928853754
2021,0.14709071728172823,0.0,0.15079365079365079
2022,0.6815364671628943,0.5617529880478087,0.05976095617529881
2023,0.15405126353851725,0.0,0.192
2024,0.08488842702941157,0.0,0.25793650793650796
2025,0.17307477033366217,0.072,0.368
2026,0.15681722220534022,0.0,0.24691358024691357
