ticker,entry_date,exit_date,shares,entry_px,exit_px,gain_eur,fee_eur,tax_eur,days_held,exit_reason,ret_net
WHR,2005-12-29,2006-01-24,227.0,43.95741653442383,42.918636181287916,-299.9131401618524,31.76,0.0,16,egg,-0.02995930683100666
VRTX,2005-12-30,2006-01-25,177.0,27.670000076293945,33.599998474121094,1011.3947164154051,22.27,0.0,16,strength,0.20583850804680462
GWW,2005-12-29,2006-01-30,195.0,51.141571044921875,51.01325532596571,-89.62156519645214,32.27,0.0,20,sma,-0.008957734664925995
GOOG,2005-12-29,2006-02-02,964.0,10.373068809509277,9.969898407913863,-452.48626713797967,31.43,0.0,23,sma,-0.045104120633002086
GOOGL,2005-12-29,2006-02-02,959.0,10.42185115814209,10.016786256731848,-452.2672404524219,31.42,0.0,23,sma,-0.04510518694331944
TKR,2005-12-29,2006-02-02,670.0,14.91989517211914,14.461034152004553,-371.446883476774,31.62,0.0,23,sma,-0.0370383151757086
BCO,2005-12-29,2006-02-10,475.0,21.01484489440918,21.23814346341842,41.08682027938812,32.62,0.0,29,sma,0.004102769393689416
WRB,2005-12-30,2006-02-10,1537.0,6.490795135498047,6.539869049494482,10.556605812520502,32.53,0.0,28,sma,0.0010547437849533442
SM,2006-02-02,2006-02-10,294.0,36.07225799560547,32.024199990911015,-1254.9790533801697,30.94,0.0,6,stop,-0.11795853984164861
NEM,2006-01-24,2006-02-15,250.0,38.67482376098633,37.28314861973464,-410.18878531292285,30.7,0.0,16,egg,-0.04228630070316287
FLS,2005-12-29,2006-02-16,522.0,9.560470581054688,11.86174905539643,1162.2128564293562,22.88,0.0,33,strength,0.23212965352639167
GPN,2006-01-30,2006-02-22,458.0,23.526525497436523,23.146155790188622,-242.44932591953875,33.9,0.0,16,egg,-0.02242930569110894
RJF,2005-12-30,2006-02-23,404.0,12.33792781829834,15.167759053173379,1104.3718188895155,22.72,0.0,36,strength,0.22084420358887372
ADBE,2006-02-02,2006-02-27,269.0,39.38999938964844,38.4900016784668,-309.2693843078614,33.28,0.0,16,egg,-0.029094563311138476
ILMN,2006-02-10,2006-03-07,494.0,10.301555633544922,12.392995834350586,994.0414591979979,22.71,0.0,16,strength,0.19470437215768818
NDAQ,2006-02-02,2006-03-08,1002.0,10.582257270812988,10.127361416910245,-522.4856456105481,32.77,0.0,23,sma,-0.04911811120998424
AMD,2006-02-15,2006-03-10,250.0,40.2400016784668,36.0,-1122.4504196166981,29.9,0.0,16,stop,-0.11121573566132625
DIOD,2006-02-22,2006-03-16,413.0,25.30666732788086,24.53333282470703,-385.64714981079123,32.73,0.0,16,egg,-0.036780199974262136
VRTX,2005-12-30,2006-03-24,177.0,27.670000076293945,36.11000061035156,1454.5550945281984,23.38,0.0,57,sma,0.29603026955757866
ATI,2006-02-10,2006-03-27,128.0,39.62295913696289,48.181394556080704,1056.2936636081695,22.82,0.0,30,strength,0.2076006090506194
ILMN,2006-02-10,2006-04-03,494.0,10.301555633544922,11.527236938476562,567.4265646362301,21.64,128.9,35,sma,0.11114268121394827
SLAB,2006-02-10,2006-04-05,108.0,46.79999923706055,59.029998779296875,1281.180503556915,23.34,337.91,37,strength,0.25266247477613546
CDE,2006-03-16,2006-04-07,97.0,56.33673858642578,67.72395078207947,1063.3795829784085,23.82,280.47,16,strength,0.193975738203697
RJF,2005-12-30,2006-04-12,404.0,12.33792781829834,14.224274433323105,724.1540324700045,21.77,191.0,70,sma,0.14481102998202178
SAIA,2006-03-24,2006-04-24,562.0,19.426666259765625,18.17333221435547,-771.9937335205086,32.93,0.0,20,sma,-0.07048576985227517
SLAB,2006-02-10,2006-04-25,109.0,46.79999923706055,50.220001220703125,335.2296632216494,21.08,0.0,50,sma,0.06550434718249028
RMBS,2006-04-24,2006-04-27,259.0,44.5,38.66999816894531,-1578.6204742431637,32.44,0.0,3,stop,-0.13653866722510458
CDE,2006-03-16,2006-05-04,97.0,56.33673858642578,61.43101686636047,454.4849931536655,22.3,0.0,34,sma,0.08290460289124668
NEU,2006-04-12,2006-05-05,168.0,33.2554931640625,43.7621469934551,1721.6728433379567,25.78,42.4,16,strength,0.3071899110044234
MLM,2006-03-10,2006-05-12,135.0,77.8901596069336,82.94199292888179,612.9174984630063,35.39,161.66,44,sma,0.05810271523006489
BLKB,2006-02-27,2006-05-15,720.0,15.03394603729248,16.439758804181018,940.7351921597474,36.99,248.12,54,sma,0.0866326324770522
URI,2006-03-08,2006-05-15,345.0,30.64190673828125,32.37472047922209,528.6707406245914,35.32,139.44,47,sma,0.049849730564874684
FLS,2005-12-29,2006-05-16,523.0,9.560470581054688,13.589540336633817,2065.827989344918,25.17,544.86,94,sma,0.41182045991132676
UNP,2006-04-25,2006-05-17,727.0,15.704545974731445,15.428691881276528,-271.92592594172675,35.44,0.0,16,egg,-0.023742467920815174
ANDE,2006-05-15,2006-05-18,406.0,27.443058013916016,25.016229383630932,-1053.3324238957448,32.79,0.0,3,stop,-0.0942399594063808
HON,2006-04-27,2006-05-19,441.0,25.705638885498047,25.074391871393274,-349.15993322020586,35.04,0.0,16,egg,-0.030703674139135564
FUL,2006-05-04,2006-05-19,538.0,21.045555114746094,18.870579014256947,-1238.6271420631601,32.78,0.0,11,stop,-0.10905117959444557
ATI,2006-02-10,2006-05-22,129.0,39.62295913696289,52.973004552820896,1681.181928684594,24.48,0.0,69,sma,0.32785281813762696
SLG,2006-04-03,2006-05-22,249.0,45.366729736328125,45.825720378888654,42.71866999757185,35.93,0.0,34,sma,0.0037697526457140694
NEU,2006-04-12,2006-05-23,168.0,33.2554931640625,33.169439096479785,-53.45208335389634,21.33,0.0,28,breakeven,-0.009537201444526284
AKAM,2006-05-12,2006-05-23,332.0,34.38999938964844,32.31999969482422,-757.4098986816407,34.23,0.0,7,stop,-0.06612958505685837
PLXS,2006-05-15,2006-05-23,253.0,43.959999084472656,40.31999969482422,-989.019845581055,32.9,0.0,6,stop,-0.08864504566730423
LVS,2006-05-19,2006-05-25,240.0,43.43235778808594,38.394446108065324,-1272.998803204946,30.44,0.0,4,stop,-0.1217338918691216
JLL,2006-05-16,2006-06-07,137.0,79.36861419677734,70.35283860652596,-1301.2412558644392,31.5,0.0,15,stop,-0.11929150121489047
WST,2006-05-17,2006-06-09,716.0,15.176820755004883,14.636308681622872,-455.17664454151964,33.6,0.0,16,egg,-0.041754829224246656
WEX,2006-05-18,2006-06-09,348.0,30.31999969482422,27.829999923706055,-931.9099203491223,31.61,0.0,15,stop,-0.08803945244928411
LAMR,2006-05-19,2006-06-13,350.0,29.858020782470703,27.801916295241302,-784.8965705302908,31.73,0.0,16,egg,-0.07486729811106155
AVNT,2006-05-24,2006-06-13,1496.0,6.790802955627441,5.56623225423789,-1892.9777692787684,28.22,0.0,13,stop,-0.18573462126386314
GPI,2006-05-22,2006-06-14,213.0,48.709022521972656,46.21276740307826,-597.0523403245061,32.01,0.0,16,egg,-0.05736275813224123
FTI,2006-05-22,2006-06-14,1034.0,10.064926147460938,9.322788749694052,-832.2900692909607,31.5,0.0,16,egg,-0.07971704358505594
R,2006-05-23,2006-06-15,320.0,31.473506927490234,31.455674476532657,-70.84638430642372,32.56,0.0,16,egg,-0.007011645645137079
FDS,2006-05-25,2006-06-19,276.0,35.979339599609375,34.20317699847225,-553.450877913845,31.0,0.0,16,egg,-0.055553258464260825
MOH,2006-06-07,2006-06-29,380.0,25.226667404174805,24.133333206176758,-477.16699523925854,30.33,0.0,16,egg,-0.04961443368372388
ZD,2006-06-09,2006-07-03,265.0,18.754987716674805,22.474141943271867,947.1662843608401,22.29,0.0,16,strength,0.18995786995716563
