,total_return,ann_return,max_drawdown,n_trades,avg_winner,avg_loser,avg_trade,t_stat,avg_invested,entry_rate,ctl_n_trades_median,ctl_median_total,pct_vs_controls
dev,-0.10943391916723388,-0.009624343336223196,-0.11446501445263157,329.0,0.01791717963666778,-0.016740063243469695,-0.0034670766085234286,-1.9100523202774777,0.04063598648776249,0.015177376943303962,242.0,0.13838773887958178,0.04
test,-0.11405964473036934,-0.01575317635461171,-0.13932620762341785,360.0,0.02199431647930088,-0.018430990301051525,-0.0032715002584193737,-1.392472713561587,0.054617179668017504,0.024558291834367967,233.0,0.11435671438557271,0.105
