period,parking,resign_x,total,cagr,maxdd,mar,n_resign,next12m_vs_spy,stole_lppl_wins
dev,tbill,off,2.755039353391254,0.11672943701742278,-0.12157496930760081,0.9601436684066258,0,,0
dev,tbill,10,3.3731208590176003,0.13101930426559272,-0.14606333431344287,0.8970033778938211,37,0.023816314990779047,3
dev,tbill,15,3.0530579070975374,0.1238688951229503,-0.14530194811362362,0.8524930101149569,26,0.04182637658464214,2
dev,tbill,20,3.2870416456390137,0.1291446551352542,-0.1362902303611887,0.9475708918607173,15,0.06577979449624506,2
dev,tbill,30,3.076126704698466,0.12440127450281957,-0.12690924735724884,0.9802380606090165,9,0.003831631390528741,0
dev,spy_green,off,4.71951177663969,0.15663635892013827,-0.1215749693076007,1.2883931603044672,0,,0
dev,spy_green,10,5.69604668532224,0.17195073576083475,-0.14684485586711782,1.170968739391427,37,0.023816314990779047,3
dev,spy_green,15,5.192206375770483,0.16432579380032641,-0.14531243319274523,1.13084469229389,26,0.04182637658464214,2
dev,spy_green,20,5.387739979778776,0.1673501932351471,-0.1366067003800706,1.2250511341650239,15,0.06577979449624506,2
dev,spy_green,30,5.07392719855556,0.16245354841135207,-0.12739759570969245,1.275169656902658,9,0.003831631390528741,0
test,tbill,off,1.2577481502265995,0.11268338994508809,-0.24179646647692132,0.4660257926301969,0,,0
test,tbill,10,1.136881675813319,0.10468548356581953,-0.27931816718994706,0.37478938308595366,59,-0.008437049982774553,1
test,tbill,15,0.855823765005089,0.08444809516262475,-0.32485379845407336,0.2599572348068564,41,-0.0034093401818341552,0
test,tbill,20,0.8913658443555583,0.08714879508480866,-0.26708944185974515,0.32629067805148404,32,-0.011191494848647766,1
test,tbill,30,0.9982953858171211,0.09501614044754625,-0.25521470402229807,0.3722988485774891,19,-0.06997000391078777,0
test,spy_green,off,1.730333884471015,0.14075857374287315,-0.243422537852231,0.5782479099298532,0,,0
test,spy_green,10,1.360561000576535,0.11919897446656913,-0.2765662428167195,0.43099610875345445,59,-0.008437049982774553,1
test,spy_green,15,1.0135837860641237,0.09611093086510669,-0.3249523948197086,0.2957692646593091,43,0.006005255524551786,1
test,spy_green,20,1.0964004847785889,0.10191879236438939,-0.2638586877892286,0.38626278792761426,32,-0.011191494848647766,1
test,spy_green,30,1.2399422371016628,0.11152887299817116,-0.25683845026135743,0.4342374472540228,19,-0.06997000391078777,0
