ticker,period,ret,lower_low,lower_high,rim_gap,run_into_base,days_to_earn,exit_reason,sma_dip,sma_vol
AGYS,dev,-0.0862708674996202,False,True,-0.005321459723878763,0.8565880394296876,67.0,stop,,
CCOI,dev,-0.0089537145301529,False,True,-0.02869855413795208,2.4747200174571975,46.0,sma,-0.01208901773896709,1.6286075610984876
ABM,dev,0.030582129379135,True,True,-0.014854821495785542,0.7203104557529338,53.0,sma,-0.005642813968053106,2.883850564107133
DXPE,dev,-0.1298097222766312,True,True,-0.057582646157388395,1.4973896390141244,70.0,stop,,
FCN,dev,-0.0222575418487018,False,True,-0.04713545055645896,0.9200000762939453,64.0,sma,-0.0037711907380344467,0.553405993453342
AGYS,dev,-0.0360559404077015,False,False,-0.03582081375758006,0.9333948848556857,48.0,sma,-0.01101934099720614,0.7749699157641395
EXEL,dev,-0.0320366022524024,True,True,-0.03135592199817072,0.5587846662023437,53.0,sma,-0.005929580638885268,0.5042760247714538
MHK,dev,0.0108397213976378,False,False,-0.005005870952800806,0.44446152907151437,71.0,sma,-0.019513132506620012,2.0718925072754137
SLGN,dev,-0.0646914601036122,True,True,-0.018707449442683988,0.7586307198795219,9.0,sma,-0.0246409679158478,1.513499843025081
FIS,dev,0.0971787241595607,True,True,-0.03385924592378886,0.41296480877477837,23.0,sma,-0.0274545077919105,2.1310444536410493
CASY,dev,-0.0359565920287839,True,True,-0.006198543811244295,0.3592149263591382,78.0,sma,-0.011482868670090629,0.9599690845854834
APD,dev,-0.0611544560542847,False,True,-0.005260765911490828,0.5098758328048001,78.0,sma,-0.007046091791596654,1.288749965089495
MCD,dev,0.1533332954011255,True,True,-0.04518692235773325,0.570301785770122,38.0,sma,-0.0069889388712267575,0.9231218511915782
CRI,dev,-0.0746283043034938,True,True,-0.0855948147553226,1.036853317476377,147.0,sma,-0.013320362071755909,1.1110851633025334
ALB,dev,-0.0420021469771491,False,True,-0.0006165010405845273,1.076274766054432,48.0,sma,-0.01625279899987231,1.599339264163084
SIG,dev,-0.0599020084659709,False,True,-0.01877073639372695,3.483499666692306,48.0,sma,-0.021285562943949232,0.6440935448611462
NFG,dev,-0.0567536921116114,False,True,-0.021202531869105146,0.8717167413879694,79.0,sma,-0.003930482750364006,0.37418900868237764
CRM,dev,-0.0208658424693107,False,False,-0.01346313173156588,2.044171427334413,68.0,sma,-0.010425438555939803,1.1597216460632207
CXT,dev,-0.0427865388154056,False,True,-0.04143349992988532,1.7125107308410112,4830.0,sma,-0.001144948971855464,1.263571604346165
CASY,dev,0.0818251644730791,True,True,-0.06326993334436792,0.6388023120802986,41.0,sma,-0.003376065183261834,0.11428165814877911
CVLT,dev,-0.0637332428155565,False,True,-0.028896084795272725,0.7303371099552245,57.0,sma,-0.0045196518310951506,0.7409587782121272
DAR,dev,-0.0698558534621419,False,True,-0.0448859899560341,0.9358974628934764,40.0,sma,-0.00304212533241055,1.2198990525603428
AMZN,dev,-0.0311363806280139,True,True,-0.03555557151245914,0.760887569516983,76.0,sma,-0.006833603904355279,1.1424667440052467
CVLT,dev,0.1550968709635412,False,True,-0.0038204053635056967,0.7646068086348463,98.0,sma,-0.005596589034591148,0.7787262224511572
VRSN,dev,0.0526172876372788,True,True,-0.015169277203421316,0.6311245463845259,86.0,sma,-0.0005741652709522205,1.4603056541683932
MTD,dev,0.0050931026125515,False,True,-0.007906529041420307,0.6815764690641464,8.0,sma,-0.0004402173699242784,5.0374125308884325
KBR,dev,-0.0546230934758912,True,True,-0.03391606589598761,0.9605081405910194,90.0,sma,-0.009818527750570238,0.7042512764023435
VYX,dev,-0.0386838865404108,False,True,-0.017667817349637516,0.690272950118606,83.0,sma,-0.0019637550344178134,0.9696501773421875
MMS,dev,-0.0442162087048867,True,True,-0.02632213357730584,0.5412180262982667,87.0,sma,-0.004176730312988153,1.9248227298378193
TSCO,dev,-0.060289565090436,False,True,-0.01340529369848531,1.1064405128586912,50.0,sma,-0.01656184277829975,0.8029117774880487
IPGP,dev,0.0961971261915612,True,True,-0.031431886846425394,3.2858162660407446,15.0,sma,-0.014716568681079178,0.720963623459157
WAT,dev,-0.1157868255302951,False,True,-0.009943731298174163,0.6450759551476823,5.0,stop,,
IRM,dev,-0.0811250859212384,False,True,-0.025501068108725544,0.7528350449025412,28.0,sma,-0.05206417518015405,3.6568103824717726
PM,dev,-0.051918779928189,False,True,-0.023566750007756765,0.7387350140025484,91.0,sma,-0.014889229240797941,1.6839995476801373
FE,dev,-0.0656619510361939,True,True,-0.0193235167514324,0.43649202332264236,1.0,sma,-0.04761902679414354,1.541958930948357
ENOV,dev,0.0892304586795336,True,True,-0.054088082751689526,0.7569060543464705,29.0,sma,-0.010509778666835112,0.7885472131581714
CRUS,dev,0.0711183476734074,False,True,-0.023108302489077026,0.7296237695097769,64.0,sma,-0.007384134301566925,1.2262887855235507
IDXX,dev,-0.0364827316475159,False,False,-0.009547326584022797,0.34628765275950935,74.0,sma,-0.0033634869740069018,0.9147033622122785
NVR,dev,-0.0808567922748253,False,True,-0.049496569717446426,0.4500764318667836,27.0,stop,,
VYX,dev,-0.0532085021856278,False,False,-0.017669316535520396,0.5525799594776877,3.0,sma,-0.002510184720985187,5.237835230254613
CHTR,dev,-0.0454716063142255,False,True,-0.0016263887516781983,0.8303183800455423,55.0,sma,-0.01360566982714706,2.2517107130126024
SCI,dev,0.1808244044288016,False,True,-0.020184861694790834,0.4293324757373209,37.0,sma,-0.003280872818990699,0.9002861468794711
OVV,dev,-0.0408180674017273,True,True,-0.023067328483181715,0.3926702113545777,7.0,sma,-0.014058252886674283,1.13213152589459
ALL,dev,0.0808807958469228,False,True,-0.017270425786818033,0.5919698700749072,91.0,sma,-0.015319734409940722,2.369618913395973
STZ,dev,-0.0022497788435644,True,True,-0.009688760315241796,0.9418471297672633,2.0,sma,-0.0018512835097549418,1.0208350363278789
AMT,dev,-0.0425893496539795,False,True,-0.003832288742180001,0.5617869342176234,16.0,sma,-0.0039521600651681865,0.8654254271774564
LII,dev,-0.0286664257446742,True,True,-0.036148755635388774,1.0232016733090865,106.0,sma,-0.0017532828122975852,0.5764954715548566
MHK,dev,-0.0384770096644976,True,True,-0.007143677976166107,1.0267483763899539,1.0,sma,-0.0025722048100017547,2.2241312017387447
V,dev,0.267190905303841,True,True,-0.02438975064348803,0.6935911899717206,33.0,sma,-0.002524655586975233,1.3047219459139456
MAS,dev,0.1263415658990705,False,True,-0.022248383815309136,1.0229216164714723,117.0,sma,-0.0013715627051872348,0.9356458138135169
UAL,dev,-0.000469199727542,False,True,-0.06830767118013825,0.8278964423443824,2.0,sma,-0.020308837928263324,0.6778960309577471
UHS,dev,0.0262889792422846,True,True,-0.031731600707103014,0.7614838787545979,90.0,sma,-0.002610627012927691,0.8314487668343339
BAC,dev,-0.0403923062976196,True,True,-0.03599379352830434,0.8796033588140371,72.0,sma,-0.013213546543240917,1.4545647250419858
AROC,dev,0.059342611804726,True,True,-0.047688877673730645,1.5596241719009742,2.0,sma,-0.0018483950791936543,1.2450918261346784
CPAY,dev,0.0110089350237096,False,True,-0.014548230995008904,1.3040283586470642,90.0,sma,-0.016291059169477706,1.6268031082176784
TYL,dev,0.1590141769546411,True,True,-0.020404832423258745,0.6714869241758954,90.0,sma,-0.0010900445775241518,0.6648019781912522
SCI,dev,0.0192090204890023,False,True,-0.02435405904425747,0.694535810190392,26.0,sma,-0.0018490860240123475,0.6499016384823555
ICUI,dev,-0.0185994366010791,False,True,-0.03162057282779629,0.48242188271251485,56.0,sma,-0.00039669934492658765,1.1052404571921501
NOW,dev,-0.0435303694065198,True,True,-0.08274795450988137,1.238971860847327,152.0,sma,-0.0006154433427230099,1.1998161983696114
UAA,dev,-0.0282819885712937,False,True,-0.020400959609472302,0.859790662459686,50.0,sma,-0.01172218659967006,1.4856668889209668
LVS,dev,0.0052349581352266,False,True,-0.01747915712642889,0.9679509697671811,56.0,sma,-0.02570708010863465,2.532566904101834
PKG,dev,-0.02608752100749,False,True,-0.020849559766452752,0.9378286069317745,35.0,sma,-0.001714609242947085,1.7476374284573406
LOPE,dev,-0.0674320170062287,True,True,-0.04907075598395294,1.2028518810414544,43.0,sma,-0.024866125062155797,1.9675811489091934
WEN,dev,0.0053383896407495,False,True,-0.03129439587038607,1.204382450971878,43.0,sma,-0.0061387973331090695,0.8014766365547388
MU,dev,-0.0114278088184599,False,True,-0.009216541149080437,2.165782389981648,56.0,sma,-0.0012743334538614093,0.6105165550677947
PZZA,dev,0.0249104557564907,True,True,-0.00844176674750663,0.9003561263160229,70.0,sma,-0.0018858185624270885,1.187454113313672
ON,dev,-0.0234013594577547,True,True,-0.017525781405847707,0.42020496597630697,28.0,sma,-0.0032276633769512397,1.1461155544934154
PPC,dev,0.0980960583693248,False,True,-0.02297534189096173,1.112171730252867,33.0,sma,-0.0010738346632604978,0.6246409518696349
PCRX,dev,0.0251304178222191,True,True,-0.05837158546733445,2.1174318279893836,91.0,sma,-0.046905285720112655,5.721208857777478
ADSK,dev,-0.0779940083331429,True,True,-0.018828483604649504,0.6737671387266346,49.0,sma,-0.016877044963493737,1.744925362757208
CENX,dev,-0.101361406574756,True,True,-0.04318260674440033,2.4437939085225318,91.0,stop,,
FTNT,dev,-0.083533199790259,False,True,-0.0031938646851603636,0.6461619997879053,6.0,sma,-0.00754026898882687,5.910077569265344
UPBD,dev,-0.1876301191573733,True,True,-0.051157935751288686,0.5995732562895373,7.0,stop,,
CSGP,dev,-0.0688303255170282,False,True,-0.006881444220659727,0.45741282855500454,37.0,sma,-0.010054234324195721,1.042163645038168
TSCO,dev,-0.0541104717826638,False,True,-0.011446887171616682,0.5808495721012303,1.0,sma,-0.014316861811342396,1.48426025562329
FNF,dev,-0.0617998237801499,False,True,-0.015231597139654607,0.5341075628283907,10.0,sma,-0.02233685633432969,1.5194681740652125
ELS,dev,-0.0445094675931738,True,True,-0.03629444420181627,0.46828316494070465,49.0,sma,-0.01599468245590152,1.1512451862957962
APTV,dev,0.0461861437374353,False,True,-0.010150768664490939,0.3949950069023702,28.0,sma,-0.018728024791382802,1.8592734774658912
OZK,dev,0.1685497710668444,False,False,-0.0004067638244100724,0.36992207349152917,90.0,sma,-0.0014104996435052586,0.3697753649281223
PZZA,dev,0.0895163117473107,False,False,-0.0033624249162872433,0.7428114206222862,89.0,sma,-0.030768660328994946,4.481058807669087
SKYW,dev,-0.0562609475277464,False,True,-0.022254542804904576,1.2207918811512903,76.0,sma,-0.0049342944406589595,0.815625994206393
VSH,dev,-0.0288720201896549,False,True,-0.02625334330876683,0.3656930512402037,6.0,sma,-0.0027358757420055113,1.0912573362806557
GEN,dev,0.1006205308674994,False,True,-0.006590852508423617,0.42620382358336095,90.0,sma,-0.0042605548561912565,0.8788837210130105
LYV,dev,-0.01790969808849,True,True,-0.01313916668642201,0.45454540080723405,107.0,sma,-0.004681710945707462,0.6989800356250071
MCHP,dev,-0.0418585648145879,True,True,-0.0035030697717963744,0.6188496385225046,91.0,sma,-0.007933762908139519,4.084618023045619
RGEN,dev,-0.0936854809554236,False,False,-0.009275810160929598,0.5967509642453699,91.0,stop,,
BOX,dev,-0.0458140333335979,True,True,-0.06731948416141909,0.7916667058802493,89.0,sma,-0.019059448109775445,1.5759851597736099
KMI,dev,-0.0506521508779567,False,False,-0.06359266426280041,0.9684963498892327,49.0,sma,-0.005080064776525672,1.6113472555188921
HQY,dev,0.0015723134785907,True,True,-0.04860026672977502,1.8134846785038863,71.0,sma,-0.0056227593057622816,2.6800726582467465
ALKS,dev,-0.0745516103595904,False,True,-0.045226955395288426,1.0626505935498392,57.0,sma,-0.009846297001072202,0.9379806288608363
NSIT,dev,-0.0777872086125099,True,True,-0.04169413075714168,0.9441125706721882,47.0,sma,-0.002300293090930494,1.0402457124717954
NUE,dev,-0.0530214201800707,True,True,-0.035153553026392226,0.9609926831312392,35.0,sma,-0.0008025665721178576,0.6868403392873556
NDSN,dev,0.1897863045943455,False,True,-0.0108863068008489,0.9149604326251055,34.0,sma,-0.008364603563893014,1.0827179051478117
SSB,dev,-0.0280843087034239,False,True,-0.010905221955801125,0.4973915710712664,88.0,sma,-0.009450249827968271,1.025645471727558
ENOV,dev,-0.0408266462202272,False,False,-0.0330917630774179,0.7235636517443014,10.0,sma,-0.008023977517318648,2.153817198761749
NTRS,dev,-0.0576521791140414,False,True,-0.0011801029715069467,0.6951304359116324,85.0,sma,-0.02762244337608366,1.5875984323799655
KLIC,dev,-0.0511661201508868,False,True,-0.043137401701412004,1.0509390403081191,69.0,sma,-0.0063643598574427696,1.112342400735986
HLT,dev,0.0321855521496567,False,True,-0.008980052082367407,0.47588058797992994,6.0,sma,-0.01851467957615327,0.9648788112423591
JAZZ,dev,-0.0459607584300307,False,True,-0.043824400255917384,0.6746950391189839,47.0,sma,-0.0016949192330610874,0.753970019127263
