date,mean_cash,days_flat,days_fully_in
2007,0.830498738598356,0.32669322709163345,0.0
2008,0.9995482721338329,0.9960474308300395,0.0
2009,0.975956482999043,0.7619047619047619,0.0
2010,0.9589587394454467,0.6071428571428571,0.0
2011,0.8839111712283931,0.5158730158730159,0.0
2012,0.7788731709176719,0.144,0.0
2013,0.8047531286867275,0.3134920634920635,0.0
2014,0.8875747850972112,0.38095238095238093,0.0
2015,0.8977155292000641,0.5436507936507936,0.0
2016,0.9391270085504202,0.6031746031746031,0.0
2017,0.8867397064280631,0.2788844621513944,0.0
2018,0.9215361822984941,0.44621513944223107,0.0
2019,0.9092647553467311,0.4523809523809524,0.0
2020,0.9480044373850299,0.6640316205533597,0.0
2021,0.9012042623256452,0.39285714285714285,0.0
2022,0.9847268899720927,0.8844621513944223,0.0
2023,0.847301967691703,0.228,0.0
2024,0.8778559356508712,0.2261904761904762,0.0
2025,0.8426387975097659,0.368,0.0
2026,0.7714009694817623,0.07407407407407407,0.0
