,total_return,ann_return,max_drawdown,n_trades,win_rate,avg_winner,avg_loser,avg_trade,t_stat,avg_invested,entry_rate,ctl_n_trades_median,ctl_median_total,pct_vs_controls
dev,1.1210418767842305,0.06475203769272331,-0.23159390475810093,802.0,0.46758104738154616,0.14139100927967577,-0.04895284051716094,0.04004833613347966,8.749346448602964,0.7380594569846359,0.49536751080914143,805.0,0.6282356953329441,0.9
test,-0.008415330854496417,-0.0011074179910588455,-0.28931222571597615,632.0,0.40189873417721517,0.1652299055350077,-0.05700601536833009,0.03231031993142908,5.084775573729842,0.7635235299057658,0.5612788632326821,610.0,0.5217553342769672,0.03
