year,avg_flags,n_trades,sum_ret,win_rate
2007,12.326693227091633,35,0.8650303410282963,0.37142857142857144
2008,1.4940711462450593,23,-2.1730022734995162,0.08695652173913043
2009,1.3293650793650793,12,2.07822545481552,0.5833333333333334
2010,8.158730158730158,32,1.8540642696492926,0.53125
2011,11.365079365079366,24,2.761133034436636,0.4583333333333333
2012,6.684,17,2.8904948182056187,0.5294117647058824
2013,35.84920634920635,19,1.6198879899353809,0.6842105263157895
2014,20.63888888888889,36,-0.6253263249412432,0.2777777777777778
2015,11.293650793650794,26,-0.3098003869885399,0.4230769230769231
2016,5.7896825396825395,26,2.4846629380525953,0.5384615384615384
2017,23.756972111553786,25,-0.06751251294772605,0.4
2018,21.772908366533866,20,-0.5338166067626391,0.35
2019,7.015873015873016,31,-1.2904187196448156,0.3225806451612903
2020,4.470355731225297,39,-1.0402963491211075,0.28205128205128205
2021,23.503968253968253,31,-0.6507944270839345,0.3548387096774194
2022,3.143426294820717,27,-0.7699526748404202,0.18518518518518517
2023,3.424,28,2.932249042784324,0.32142857142857145
2024,21.49206349206349,25,3.3223731600380066,0.56
2025,8.196,36,6.613907194032036,0.4444444444444444
2026,17.209876543209877,27,0.41258691728326463,0.2962962962962963
