seed,total_return,n_trades
0,1.8224728767229865,1464
1,1.6615319297673565,1396
2,3.705595982791869,1429
3,1.1229740140548565,1454
4,2.5200754402317886,1402
5,1.4730452686009277,1387
6,1.7104974124637025,1424
7,0.5715343982905066,1438
8,2.18973300375105,1399
9,1.071682605124598,1443
10,2.914740504926421,1399
11,1.3596332865156056,1430
12,2.0847780439659203,1407
13,1.5589127578909467,1417
14,2.1922988879667455,1413
15,0.9259187013782928,1429
16,3.131103888572058,1384
17,0.8662741291174212,1428
18,0.6284476796398577,1462
19,1.898414136232458,1413
20,2.7267464802342665,1400
21,1.759809900145965,1405
22,0.6728375021119026,1426
23,1.2659942127715338,1431
24,1.7324922364556774,1408
25,0.4732397481831503,1432
26,0.6840346101989894,1412
27,2.244522370494754,1395
28,0.9094812768469593,1455
29,0.9172195745392702,1453
30,1.005596087927199,1442
31,2.155673801325232,1398
32,1.4629974882281047,1444
33,1.2480983024937693,1431
34,1.0365751789566824,1410
35,0.6956283213363832,1425
36,1.3139716513149997,1430
37,0.9033979518900128,1405
38,1.125968740344268,1449
39,2.369316322145291,1417
40,1.8446203543919482,1416
41,0.639793867438518,1455
42,2.37743984287595,1388
43,1.0791509667356247,1430
44,2.6062083651644894,1411
45,1.3702607338401105,1408
46,1.3112651926685257,1417
47,0.9874556582501979,1448
48,2.209097501740134,1415
49,1.9594266516563539,1387
50,1.1157667003717475,1410
51,1.4053112136160935,1409
52,1.3862953824203017,1443
53,0.06313295360263038,1492
54,1.3064785484356807,1433
55,2.7280828005519453,1380
56,0.4960921720039393,1407
57,0.9632666198444468,1415
58,3.054749779473987,1447
59,1.972497894354067,1451
60,1.9530149098905136,1425
61,1.3709265358990854,1419
62,0.7349058106568063,1449
63,1.06599829859729,1399
64,0.5252291565950058,1473
65,2.096294515531006,1420
66,4.600099160330811,1388
67,2.1593446068079434,1412
68,1.0493524109943215,1413
69,1.1950524280964436,1411
70,1.0954779312359126,1449
71,1.3433895297278404,1415
72,1.3078582256335713,1443
73,1.2258486929590702,1439
74,1.233371268205532,1433
75,1.2912819839590641,1415
76,1.2271330788172405,1391
77,2.4735506704516017,1387
78,0.9579446098041633,1442
79,2.506217352326311,1405
80,0.8369721606141025,1441
81,1.9540442732736074,1415
82,0.8080632393177738,1404
83,1.177953442901603,1452
84,1.6468849733233686,1436
85,2.3829845785984176,1411
86,0.8556917215496176,1436
87,3.9170372111373446,1422
88,1.3549472058119614,1424
89,2.219872596667804,1395
90,2.147912766506811,1419
91,0.8303583021387968,1456
92,0.4790196361407597,1454
93,0.8488510076682081,1426
94,2.117286879759697,1423
95,1.2117881410884848,1411
96,2.203767166050693,1451
97,1.7034142088640767,1424
98,1.9338808687574671,1411
99,1.7470637089910284,1445
100,1.1049253218824933,1451
101,1.5492416728911413,1426
102,2.346361812718331,1425
103,0.5335487611367635,1415
104,2.8452339636655313,1401
105,0.9368244988428833,1429
106,2.359515171703317,1391
107,1.1516422169073368,1423
108,1.9839517781196752,1426
109,0.011808006105814117,1472
110,1.526731450626801,1413
111,1.0636346356542252,1421
112,1.0883652774848644,1419
113,0.5909840075667385,1427
114,1.5842587704355364,1379
115,1.2846660567748098,1446
116,0.6377797677985686,1413
117,0.2985371575138882,1444
118,2.043151459380973,1393
119,2.3571669863780107,1403
120,1.53684657489302,1420
121,1.1943829328633049,1431
122,2.7025828870142257,1413
123,1.2666952385150512,1429
124,1.5640677073538631,1410
125,0.7155326781126208,1426
126,0.6239686889819038,1420
127,1.632977550233988,1420
128,1.6690904322362616,1420
129,2.0395861722544844,1394
130,1.2551338095275275,1450
131,0.51986806172912,1471
132,1.6680989478374717,1437
133,1.9509447796275832,1396
134,1.8223076894058865,1416
135,2.223599203544627,1368
136,3.8976489708020576,1375
137,1.3478496917145617,1410
138,1.9840966945869134,1428
139,1.649394205430455,1397
140,2.8896381950256367,1449
141,2.1022714129898086,1421
142,1.0739104954130032,1467
143,2.4056898926843657,1431
144,1.7764947465944059,1419
145,2.473825280496617,1399
146,0.824016680761603,1423
147,1.1537537838569212,1472
148,0.4855050281544402,1476
149,0.2790527055927843,1445
150,1.1709469470164495,1425
151,2.4952956213486077,1408
152,1.134100306914525,1406
153,1.699157724325758,1450
154,0.9041569746059761,1406
155,1.1181148344172471,1399
156,1.434164153223064,1413
157,2.19547481421175,1408
158,1.5612989644452044,1407
159,0.8652197602910385,1454
160,1.3725360270558942,1381
161,1.2575563476408034,1449
162,2.103112152565832,1373
163,3.033266509146877,1364
164,2.2809632969543117,1382
165,1.1528780759426493,1411
166,1.0823187358841184,1432
167,1.6501252350875233,1421
168,2.778042232147856,1379
169,1.4083743931402601,1441
170,3.621786383015306,1424
171,0.9703534092294142,1437
172,5.633731444063928,1367
173,1.5007761190172944,1411
174,0.8641932469137725,1402
175,2.079803648759412,1417
176,2.12799376959807,1409
177,0.5757243778298395,1476
178,1.3793790450052374,1463
179,0.6057307697450351,1445
180,3.294125277084711,1400
181,2.3232275951137167,1398
182,1.931502074598955,1452
183,0.6547774462249369,1424
184,2.3839299544764514,1435
185,2.223396392176462,1419
186,0.7521752073447947,1416
187,1.0002272460702133,1439
188,1.4915530237247085,1443
189,2.423405379078703,1470
190,1.6153902263537914,1432
191,1.0899086838102674,1459
192,0.6134917001100193,1457
193,1.6234804108697491,1416
194,0.8134702656296273,1439
195,0.2691349027897574,1475
196,0.7671716212370459,1441
197,1.3420568454859052,1425
198,0.5890467272442013,1425
199,2.669373799912269,1417
