ticker,start,year,n_evals,len_d,runup126,peak_lag,peak_after_flag_end,tc_err,post_peak_dd,crash
A,2013-12-10,2013,4,40,0.2664556943554308,28,False,58.61184210526335,-0.13380180325079316,False
A,2017-07-10,2017,2,5,0.2532233479443846,99,True,-26.927631578947512,-0.13001642092639065,False
A,2017-09-12,2017,1,0,0.2727794241786605,94,True,-19.526315789473756,-0.18101485719852362,False
A,2021-01-06,2021,6,30,0.3771887329133956,148,True,-108.0,-0.22178340708134425,False
A,2021-06-08,2021,3,10,0.2087625830422173,62,True,103.26315789473665,-0.36647687764190107,True
A,2021-09-16,2021,1,0,0.41750364024092423,1,True,105.71052631578914,-0.34702759081427215,True
AA,2014-03-24,2014,3,30,0.4570079795136883,115,True,-44.276315789473756,-0.2623799762917357,False
AA,2014-06-18,2014,9,55,0.5372618206844051,113,True,-16.35526315789457,-0.46725994627833844,True
AA,2021-09-30,2021,3,10,0.518460893168476,121,True,-6.789473684210861,-0.6445820148045631,True
AA,2022-02-01,2022,10,55,0.44371055479850185,36,False,186.5,-0.6445820148045631,True
AA,2026-01-06,2026,9,45,1.0960132670864158,101,True,-27.644736842104976,-0.4882444075042165,True
AAL,2014-02-24,2014,5,30,1.252612322840768,82,True,17.473684210526244,-0.3568475818090049,True
AAL,2014-07-10,2014,1,0,0.5497647478787768,120,True,46.05263157894751,-0.29350692534387435,False
AAMI,2025-09-03,2025,3,10,1.1354933879618958,120,True,-41.51315789473665,-0.1088074221680938,False
AAON,2010-06-14,2010,1,0,0.30362453979958515,120,True,-45.0,-0.07333722765677331,False
AAON,2013-03-12,2013,16,90,0.3331021780790253,202,True,-112.59210526315746,-0.21594364525888465,False
AAON,2013-09-23,2013,1,0,0.44295012327730765,83,True,35.68421052631584,-0.2517061054168197,False
AAON,2013-10-28,2013,9,55,0.45814183218827487,171,True,-16.0,-0.2608883281851446,False
AAON,2017-01-31,2017,1,0,0.28762580855813913,93,True,-35.368421052631675,-0.16929133110228944,False
AAP,2010-06-28,2010,8,35,0.22279629343328788,112,True,-50.289473684210634,-0.26784368574423123,False
AAP,2010-10-13,2010,8,55,0.3246659489707364,147,True,-103.6447368421052,-0.3058336633875831,True
AAP,2012-03-19,2012,5,30,0.41657244751804035,28,False,40.289473684210634,-0.28930186311217987,False
AAP,2014-12-22,2014,2,20,0.211534584719129,138,True,37.36184210526335,-0.18190005328376946,False
AAPL,2005-12-14,2005,5,30,0.8959974562370989,20,False,44.93421052631578,-0.4079915099461967,True
AAPL,2007-07-27,2007,2,5,0.6848213044491853,107,True,-34.20394736842104,-0.40374332254750267,True
AAPL,2010-12-09,2010,3,15,0.26133077624610523,47,True,139.7105263157896,-0.13166074148065732,False
AAPL,2012-04-24,2012,2,5,0.4261212411911319,103,True,70.09210526315792,-0.4379716715571962,True
AAPL,2014-10-31,2014,1,0,0.2713054654823477,76,True,-1.0,-0.2178990338049701,False
AAPL,2018-10-15,2018,1,0,0.2284752552089493,6,True,175.18421052631584,-0.3593761996293424,True
AAPL,2019-12-17,2019,7,30,0.426797311861828,147,True,-66.60526315789457,-0.05838389839919722,False
AAPL,2025-12-05,2025,1,0,0.3699831471428716,118,True,-43.0,-0.11954821109389191,False
AAT,2012-08-08,2012,6,50,0.18185762779427628,168,True,-83.36184210526335,-0.12316991835682833,False
AAT,2013-04-30,2013,5,20,0.24679430487851017,6,False,26.89473684210543,-0.18008108092408526,False
ABBV,2015-01-12,2015,1,0,0.2078500939467105,115,True,34.60526315789457,-0.30347664094767757,True
ABBV,2017-11-10,2017,4,15,0.4543204390562181,51,True,47.28947368421041,-0.27132557864458484,False
ABBV,2018-03-09,2018,2,5,0.47938237911382053,2,False,59.644736842104976,-0.3293551706254576,True
ABBV,2022-02-28,2022,3,10,0.2637016366774827,29,True,57.907894736842536,-0.2191545046624901,False
ABCB,2012-05-01,2012,2,10,0.14938204391278442,101,True,0.776315789473756,-0.18478286112849085,False
ABCB,2013-09-23,2013,1,0,0.31619136756679356,120,True,-45.0,-0.17551214095981926,False
ABCB,2015-11-12,2015,6,35,0.3214231996149064,31,False,109.85526315789457,-0.28047045638551427,False
ABG,2011-01-31,2011,3,10,0.31032025604899327,126,True,-46.0,-0.2834718113066853,False
ABG,2012-03-26,2012,1,0,0.7192447875193886,120,True,-42.03947368421041,-0.07450716737382379,False
