date,mean_cash,days_flat,days_fully_in
2007,0.9868382617463577,0.8804780876494024,0.0
2008,0.999608002390787,0.9960474308300395,0.0
2009,0.9794001017521771,0.8174603174603174,0.0
2010,0.9732602285925553,0.7579365079365079,0.0
2011,0.9670563503132356,0.7341269841269841,0.0
2012,0.9550921077111799,0.624,0.0
2013,0.9011963406407073,0.3531746031746032,0.0
2014,0.9797606462562706,0.8174603174603174,0.0
2015,0.957095260629693,0.6507936507936508,0.0
2016,0.9724492733023408,0.7619047619047619,0.0
2017,0.9142995475852839,0.549800796812749,0.0
2018,0.9259159058061049,0.5258964143426295,0.0
2019,0.9249033715988113,0.5238095238095238,0.0
2020,0.9803884512421436,0.8379446640316206,0.0
2021,0.9227339873170511,0.4880952380952381,0.0
2022,0.989611504237878,0.9123505976095617,0.0
2023,0.9060621067235987,0.32,0.0
2024,0.9102890908677105,0.39285714285714285,0.0
2025,0.9695083771279739,0.772,0.0
2026,0.9673143743317726,0.7407407407407407,0.0
