date,mean_cash,days_flat,days_fully_in
2007,0.11103896440790069,0.00398406374501992,0.13147410358565736
2008,0.9199267634648495,0.8142292490118577,0.0
2009,0.5514940200940581,0.44841269841269843,0.07142857142857142
2010,0.30372893290396485,0.051587301587301584,0.14285714285714285
2011,0.36000907028561835,0.23015873015873015,0.23412698412698413
2012,0.09127151140639338,0.0,0.216
2013,0.1144093729146089,0.0,0.21031746031746032
2014,0.13669916875713517,0.0,0.19047619047619047
2015,0.2776040193940742,0.15079365079365079,0.04365079365079365
2016,0.25785810561426564,0.09523809523809523,0.20634920634920634
2017,0.15612100938033047,0.0,0.08764940239043825
2018,0.2307610022533187,0.01195219123505976,0.16733067729083664
2019,0.17253973372143486,0.0992063492063492,0.45634920634920634
2020,0.3268134551833508,0.2134387351778656,0.2134387351778656
2021,0.1273990556771587,0.0,0.1865079365079365
2022,0.6809717178048752,0.5856573705179283,0.055776892430278883
2023,0.12973643451314357,0.0,0.28
2024,0.1237059778365193,0.0,0.06746031746031746
2025,0.21068516956247788,0.072,0.148
2026,0.18298411789921093,0.0,0.05555555555555555
