date,mean_cash,days_flat,days_fully_in
2007,0.11609534184929661,0.00398406374501992,0.11155378486055777
2008,0.8746615519652133,0.6758893280632411,0.0
2009,0.4991212525718214,0.4126984126984127,0.1626984126984127
2010,0.23197044431661687,0.0,0.09523809523809523
2011,0.3355011012650655,0.23015873015873015,0.2896825396825397
2012,0.056281918618970674,0.0,0.472
2013,0.10378981561341769,0.0,0.15079365079365079
2014,0.12422737982980478,0.0,0.27380952380952384
2015,0.2645318370758011,0.17063492063492064,0.14285714285714285
2016,0.24602271826495853,0.09523809523809523,0.1865079365079365
2017,0.11032490893273472,0.0,0.035856573705179286
2018,0.18121478009735917,0.0199203187250996,0.21912350597609562
2019,0.16358413430801264,0.09126984126984126,0.2857142857142857
2020,0.35493896531072244,0.19367588932806323,0.08695652173913043
2021,0.08984385611280953,0.0,0.39285714285714285
2022,0.6592187182780264,0.3944223107569721,0.027888446215139442
2023,0.10577329508476485,0.0,0.384
2024,0.10696585961345853,0.0,0.15476190476190477
2025,0.18566834300385165,0.072,0.34
2026,0.09830050780260713,0.0,0.32098765432098764
