period,fraction,total_return,ann_return,max_drawdown,n_trades,win_rate,avg_winner,avg_loser,avg_trade,t_stat,avg_invested,worst_trade_portfolio_hit
dev,0.01,0.1144582726276755,0.00908367232134144,-0.03841360158186924,328,0.42378048780487804,0.20645800643821785,-0.0935343197825059,0.03359657456103252,2.882827653095159,0.08985005261207614,-0.0027287435490746083
dev,0.02,0.2380948886049239,0.01798114000314799,-0.07578346644225675,328,0.42378048780487804,0.20645800643821785,-0.0935343197825059,0.03359657456103252,2.882827653095159,0.18000095130699706,-0.005457487098149217
dev,0.03,0.3688690357342286,0.026546301483724832,-0.11166462212900696,328,0.42378048780487804,0.20645800643821785,-0.0935343197825059,0.03359657456103252,2.882827653095159,0.26898357029505454,-0.008186230647223824
dev,0.05,0.658083602373396,0.0430971876583508,-0.17889038468135143,328,0.42378048780487804,0.20645800643821785,-0.0935343197825059,0.03359657456103252,2.882827653095159,0.4421829586914808,-0.01364371774537304
dev,0.075,1.0690046660803132,0.06254738817720029,-0.25528231610597263,328,0.42378048780487804,0.20645800643821785,-0.0935343197825059,0.03359657456103252,2.882827653095159,0.652411614147996,-0.02046557661805956
dev,0.1,1.5424676181471728,0.08097591102080437,-0.30722518711791047,295,0.42033898305084744,0.21521764589278752,-0.09264881491065488,0.0367594601389277,2.899554312248817,0.7731924299599328,-0.02728743549074608
dev,0.125,1.7324901732654396,0.0874970044359118,-0.3381906714781441,238,0.41596638655462187,0.2228083689860692,-0.09090706663211003,0.0395880095283931,2.746268758256178,0.7883165398858558,-0.0341092943634326
dev,0.15,1.854134852837106,0.09145662301642066,-0.3818622798239343,203,0.4088669950738916,0.2359246514398997,-0.09470545921316582,0.04047828061050137,2.469964098081931,0.7925257834976491,-0.04093115323611912
dev,0.2,1.3929209705017578,0.07552172488124986,-0.4101448387535763,148,0.40540540540540543,0.23365673146214497,-0.0963601276499575,0.037430490909003,1.8946333280916468,0.7698842105040988,-0.05457487098149216
test,0.01,0.0793037928254261,0.010056306044278207,-0.049595055121338105,270,0.337037037037037,0.29691110854370556,-0.10345423424908791,0.03148371461811284,1.6865171174158098,0.08401387734221165,-0.006442373998567301
test,0.02,0.21244832182565232,0.025579599445787027,-0.10037518961665182,258,0.35658914728682173,0.30474007098468825,-0.10320610510141628,0.042263073968047356,2.1323936512078534,0.17456717405721597,-0.012884747997134603
test,0.03,0.3226547522542689,0.037345114569000026,-0.14887263086359714,258,0.35658914728682173,0.30474007098468825,-0.10320610510141628,0.042263073968047356,2.1323936512078534,0.26128829363937434,-0.019327121995701902
test,0.05,0.5540646296563627,0.05950781894335089,-0.24280945355519612,258,0.35658914728682173,0.30474007098468825,-0.10320610510141628,0.042263073968047356,2.1323936512078534,0.43181411981195,-0.032211869992836505
test,0.075,0.8287307521667326,0.08235905193988535,-0.35159097795926963,258,0.35658914728682173,0.30474007098468825,-0.10320610510141628,0.042263073968047356,2.1323936512078534,0.6363290377495464,-0.04831780498925476
test,0.1,0.8615730432466959,0.08488798987703605,-0.4730143639541069,244,0.3442622950819672,0.312105032571876,-0.104294803703689,0.03905595960429241,1.864980036021758,0.7550535169237181,-0.06442373998567301
test,0.125,0.41034058560908004,0.04611247554232434,-0.5185534998985357,187,0.33689839572192515,0.3011203963689259,-0.10775224242154968,0.029996293641551725,1.3153593487944002,0.7663130675264435,-0.08052967498209126
test,0.15,0.34546330880201603,0.03967315560164697,-0.5907118079378939,166,0.3192771084337349,0.3262428982380994,-0.10810581264948277,0.030571787814624773,1.2186986175637806,0.7820697034936573,-0.09663560997850952
test,0.2,1.0739835425876603,0.10036667268947141,-0.5323858670312567,124,0.33064516129032256,0.36159263166257627,-0.10594793352503525,0.04864209206119116,1.5106812558600913,0.7877886176928398,-0.054319074457109665
