date,mean_cash,days_flat,days_fully_in
2007,0.4514223060761168,0.00398406374501992,0.0
2008,0.9312492329780344,0.6758893280632411,0.0
2009,0.7191808931973159,0.4246031746031746,0.0
2010,0.5359816018341389,0.0,0.0
2011,0.6098405154526607,0.23015873015873015,0.0
2012,0.4557746281868955,0.0,0.0
2013,0.4367013581893492,0.0,0.0
2014,0.42812124143601205,0.0,0.0
2015,0.5388047462516541,0.1746031746031746,0.0
2016,0.5403869130544077,0.09523809523809523,0.0
2017,0.49377942053669094,0.0,0.0
2018,0.5526343914832809,0.0199203187250996,0.0
2019,0.5515913243648318,0.09126984126984126,0.0
2020,0.590135766709234,0.19367588932806323,0.0
2021,0.4865049442455836,0.0,0.0
2022,0.808146814149844,0.5537848605577689,0.0
2023,0.4739359279187221,0.02,0.0
2024,0.5023695944278558,0.0,0.0
2025,0.5473666481173171,0.072,0.0
2026,0.5184186083576601,0.0,0.0
