date,mean_cash,days_flat,days_fully_in
2007,0.1588551953463644,0.00398406374501992,0.12749003984063745
2008,0.8888624792446199,0.6758893280632411,0.015810276679841896
2009,0.5229068526607692,0.4246031746031746,0.07936507936507936
2010,0.2516494652784321,0.0,0.14682539682539683
2011,0.3657476367948551,0.15079365079365079,0.18253968253968253
2012,0.071466813066259,0.0,0.308
2013,0.0713558133887216,0.0,0.503968253968254
2014,0.11406725763745978,0.0,0.4246031746031746
2015,0.263187325759663,0.17063492063492064,0.1746031746031746
2016,0.22381201110779417,0.09523809523809523,0.26587301587301587
2017,0.1350800819275971,0.0,0.08366533864541832
2018,0.29830859492996464,0.01593625498007968,0.18725099601593626
2019,0.17628381388184855,0.11507936507936507,0.3888888888888889
2020,0.30841626501527203,0.1976284584980237,0.14624505928853754
2021,0.12863502000456833,0.0,0.19047619047619047
2022,0.6713206238880846,0.49800796812749004,0.04780876494023904
2023,0.1367539481075754,0.028,0.284
2024,0.08955732062188275,0.0,0.2976190476190476
2025,0.22338743122234633,0.072,0.204
2026,0.19128638107303947,0.0,0.18902439024390244
