period,parking,total,cagr,maxdd,mar
dev,tbill,2.755039353391254,0.11672943701742278,-0.12157496930760081,0.9601436684066258
dev,spy_always,2.231129439334812,0.10281437006081062,-0.5518942773961097,0.18629359692928635
dev,spy_green,4.71951177663969,0.15663635892013827,-0.1215749693076007,1.2883931603044672
test,tbill,1.2577481502265995,0.11268338994508809,-0.24179646647692132,0.4660257926301969
test,spy_always,1.9026398939344458,0.14994851191238778,-0.29139335659666254,0.5145913882997057
test,spy_green,1.730333884471015,0.14075857374287315,-0.243422537852231,0.5782479099298532
