,total_return,ann_return,max_drawdown,n_trades,avg_winner,avg_loser,avg_trade,t_stat,avg_invested,entry_rate,ctl_n_trades_median,ctl_median_total,pct_vs_controls
dev,-0.029580516126175405,-0.0025024148948438185,-0.06789610615848762,31.0,0.09327541309661995,-0.0512334790672965,-0.009279284568094954,-0.6097351451344254,0.028231375589358506,0.0014262053735737946,32.0,0.008022862743972459,0.21
test,-0.04253111806149157,-0.005682253760978417,-0.056161777969432225,21.0,0.1667663373470516,-0.06413397028863749,-0.020152959310410994,-0.9007564686670438,0.029221303600450367,0.0014230534661516568,21.0,-0.0010186603758791657,0.14
