,total_return,ann_return,max_drawdown,n_trades,avg_winner,avg_loser,avg_trade,t_stat,avg_invested,entry_rate,ctl_n_trades_median,ctl_median_total,pct_vs_controls
dev,0.6547777658433156,0.04292349140044038,-0.15076847419356731,829.0,0.16642683019287677,-0.05131516328947146,0.03378544694970927,6.024823690120183,0.4419275064486753,0.7661737523105361,826.0,0.6274205523369758,0.53
test,0.5084205011959764,0.055374718622558605,-0.1709380516714758,665.0,0.19629538088449175,-0.05792661666760358,0.04452675978948145,5.9013245906521945,0.43826427919997807,0.9459459459459459,629.0,0.560739433890229,0.46
