period,year,n,win_rate,avg_trade,spy_year
dev,2007,35,0.37142857142857144,0.02471515260080845,0.051462343183094506
dev,2008,23,0.08695652173913043,-0.09447835971737029,-0.36795001032965524
dev,2009,12,0.5833333333333334,0.17318545456796,0.2635176259157497
dev,2010,32,0.53125,0.0579395084265404,0.15056134340801286
dev,2011,24,0.4583333333333333,0.11504720976819312,0.01894985433247287
dev,2012,17,0.5294117647058824,0.17002910695327172,0.15990379919019926
dev,2013,19,0.6842105263157895,0.08525726262817797,0.3230772717957049
dev,2014,36,0.2777777777777778,-0.01737017569281232,0.13463805054580136
dev,2015,26,0.4230769230769231,-0.01191539949955923,0.012343014952343578
dev,2016,26,0.5384615384615384,0.09556395915586904,0.11997883869011172
dev,2017,25,0.4,-0.0027005005179090522,0.2170539489507617
dev,2018,20,0.35,-0.026690830338131973,-0.045689713734406
test,2019,31,0.3225806451612903,-0.04162641031112311,0.3122383012900465
test,2020,39,0.28205128205128205,-0.026674265362079702,0.18331646821021375
test,2021,31,0.3548387096774194,-0.020993368615610814,0.2872875564595372
test,2022,27,0.18518518518518517,-0.02851676573483041,-0.18175373711459009
test,2023,28,0.32142857142857145,0.10472318009944015,0.2617578001576648
test,2024,25,0.56,0.13289492640152026,0.2488647133591806
test,2025,36,0.4444444444444444,0.1837196442786676,0.17719067981214542
test,2026,27,0.2962962962962963,0.01528099693641719,0.12979914459122166
