date,20000 EUR book,100000 EUR book,SPY
2005,-0.009968373680114717,-0.0070150446166991065,
2006,0.020259282976767157,0.08001687729997209,0.15845223914200246
2007,-0.043083427666363194,-0.01946369949985649,0.051462343183094506
2008,-0.09589987997190008,-0.07944418830005806,-0.36795001032965524
2009,0.11178168666089561,0.1448409955773955,0.2635176259157497
2010,-0.06201737898909332,-0.007251506418902265,0.15056134340801286
2011,-0.2450589871088693,-0.1968092540678057,0.01894985433247287
2012,-0.10570509889943136,0.012626684552627943,0.15990379919019926
2013,0.31121091372083654,0.4341280654452475,0.3230772717957049
2014,-0.04650326119985837,0.08668457271584229,0.13463805054580136
2015,-0.07788520700286095,-0.034968096585415664,0.012343014952343578
2016,-0.14510481774771633,-0.040548510349870504,0.11997883869011172
2017,0.28156390495158545,0.3190170210687526,0.2170539489507617
2018,0.01614128299219919,0.039069470365531656,-0.045689713734406
2019,-0.027610848330970605,0.01968228470191402,0.3122383012900465
2020,0.26410392742573263,0.34170450869422053,0.18331646821021375
2021,0.21252718507399293,0.2099287331231965,0.2872875564595372
2022,-0.08546368350750089,-0.10520320775803715,-0.18175373711459009
2023,-0.0638101166612095,0.044254507209843696,0.2617578001576648
2024,0.07483341279732203,0.09241656146305943,0.2488647133591806
2025,-0.073510324793025,0.020482933246006807,0.17719067981214542
2026,-0.09828499920424849,-0.01315860954383008,0.12979914459122166
