date,mean_cash,days_flat,days_fully_in
2007,0.9960202424436605,0.9601593625498008,0.0
2008,1.0,1.0,0.0
2009,0.986730768757456,0.8690476190476191,0.0
2010,0.989552606470544,0.8968253968253969,0.0
2011,1.0,1.0,0.0
2012,0.955044272368181,0.712,0.0
2013,0.9035067378144649,0.3968253968253968,0.0
2014,0.9709242929412819,0.7261904761904762,0.0
2015,0.9890757187859971,0.8888888888888888,0.0
2016,0.9776450506256704,0.8055555555555556,0.0
2017,0.947223779416488,0.6414342629482072,0.0
2018,0.9451484619185275,0.5737051792828686,0.0
2019,0.9466986863939804,0.6031746031746031,0.0
2020,0.9937030894747861,0.9367588932806324,0.0
2021,0.9914899478921385,0.9126984126984127,0.0
2022,1.0,1.0,0.0
2023,0.9265839214780146,0.372,0.0
2024,0.9344546438346915,0.49603174603174605,0.0
2025,0.9873241061109184,0.892,0.0
2026,0.9941151843156546,0.9382716049382716,0.0
