date,cash_fraction
2007-01-03,1.0
2007-01-04,1.0150737585257197e-05
2007-01-05,1.0313647089366107e-05
2007-01-08,1.0250999298411223e-05
2007-01-09,1.0240577211995117e-05
2007-01-10,1.0186530127964666e-05
2007-01-11,1.0068595984846773e-05
2007-01-12,1.0013421461230188e-05
2007-01-16,1.0043889776656378e-05
2007-01-17,1.0041873849231386e-05
2007-01-18,1.0245321514279482e-05
2007-01-19,0.08184259266476512
2007-01-22,0.08232951648273068
2007-01-23,0.08237972195310395
2007-01-24,0.08208364010609426
2007-01-25,0.08273079942425554
2007-01-26,0.08273921970445486
2007-01-29,0.07785184161445191
2007-01-30,0.07759703371286175
2007-01-31,0.07708479083807651
2007-02-01,0.07621921180149105
2007-02-02,0.07583358456521694
2007-02-05,0.07612910411228924
2007-02-06,0.07435307394879453
2007-02-07,0.0744813136587037
2007-02-08,0.07468299000211065
2007-02-09,0.0754549881689135
2007-02-12,0.07550528109436405
2007-02-13,0.07585836803224266
2007-02-14,0.07504521384027918
2007-02-15,0.0750636162037781
2007-02-16,0.07542703641704329
2007-02-20,0.0714870177100233
2007-02-21,0.07165398139869394
2007-02-22,0.07178363713277414
2007-02-23,0.07162921279238554
2007-02-26,0.07246943384308702
2007-02-27,0.07525527505288376
2007-02-28,0.07910333041239082
2007-03-01,0.07310330991630443
2007-03-02,0.07408552223378773
2007-03-05,0.08423431626934608
2007-03-06,0.08230117002137705
2007-03-07,0.08204644078674883
2007-03-08,0.08066571095392883
2007-03-09,0.08083857843126085
2007-03-12,0.07973701106652198
2007-03-13,0.08158583108829676
2007-03-14,0.08123072988256697
2007-03-15,0.08093740718147446
2007-03-16,0.0809613263800687
2007-03-19,0.08032953383585595
2007-03-20,0.07678647282463968
2007-03-21,0.07629925535424531
2007-03-22,0.07652006361672947
2007-03-23,0.07594462997556195
2007-03-26,0.07640981307518158
2007-03-27,0.0769399762722246
2007-03-28,0.07303130531902557
2007-03-29,0.07335987995002469
2007-03-30,0.07296460897952817
2007-04-02,0.07198177510558601
2007-04-03,0.07101458275939887
2007-04-04,0.07103172468269892
2007-04-05,0.07047662098983232
2007-04-09,0.07027539003703931
2007-04-10,0.025294404695546446
2007-04-11,0.0253858231685552
2007-04-12,0.02511865507197031
2007-04-13,0.02475121908577471
2007-04-16,0.024513460387234787
2007-04-17,0.024490274571616233
2007-04-18,0.024541242980071765
2007-04-19,0.02475475995520815
2007-04-20,0.02468139017045301
2007-04-23,0.024609642398862985
2007-04-24,0.024670871690727236
2007-04-25,0.02450475089219295
2007-04-26,0.024593354100166276
2007-04-27,0.06869395275623824
2007-04-30,0.06944671575454886
2007-05-01,0.017469193935534255
2007-05-02,0.017215748170235745
2007-05-03,0.017177946027033153
2007-05-04,0.01055953769692719
2007-05-07,0.010495555345938157
2007-05-08,0.01049154584443579
2007-05-09,0.010442349944454588
2007-05-10,0.010454538346550413
2007-05-11,0.0678691003039642
2007-05-14,0.06764484329755294
2007-05-15,0.06809792010591476
2007-05-16,0.06774474303400446
2007-05-17,0.06722426737203757
2007-05-18,0.06039252539670115
2007-05-21,0.05568582254535759
2007-05-22,0.05572259318759076
2007-05-23,0.055461570235548985
2007-05-24,0.05642478155972619
2007-05-25,0.05556115515410709
2007-05-29,0.05525987181846592
2007-05-30,0.054578041849654424
2007-05-31,0.11273874149725471
2007-06-01,0.11136276407497647
2007-06-04,0.16449456737401658
2007-06-05,0.16463316451760135
2007-06-06,0.16615104076828424
2007-06-07,0.17016074215663268
2007-06-08,0.16897532428413664
2007-06-11,0.1692108228965583
2007-06-12,0.17144788299066815
2007-06-13,0.15805219550137695
2007-06-14,0.15659866498406994
2007-06-15,0.1547325161119084
2007-06-18,0.15530359197888133
2007-06-19,0.15538418104143226
2007-06-20,0.15720947140729524
2007-06-21,0.1569188303426119
2007-06-22,0.1577904528546733
2007-06-25,0.11066263920573027
2007-06-26,0.11078209924042204
2007-06-27,0.10584800781454917
2007-06-28,0.10609887055790546
2007-06-29,0.10600234553666454
2007-07-02,0.10374825312163272
2007-07-03,0.104051253219694
2007-07-05,0.103647206173487
2007-07-06,0.09722355252285653
2007-07-09,0.09689016135229656
2007-07-10,0.15436529536198118
2007-07-11,0.15304689409489725
2007-07-12,0.14840887717019058
2007-07-13,0.1477156052790446
2007-07-16,0.14765779060148398
2007-07-17,0.14705190864639806
2007-07-18,0.1475915750388076
2007-07-19,0.14807922223997627
2007-07-20,0.15077740997273914
2007-07-23,0.09775443832775732
2007-07-24,0.1003532844732059
2007-07-25,0.09512255487284182
2007-07-26,0.09779755556757663
2007-07-27,0.45937115863613254
2007-07-30,0.06156540321076098
2007-07-31,0.06211251226917791
2007-08-01,0.05709459961515173
2007-08-02,0.05711336032349035
