sell_frac,dev_bets,dev_euro,dev_total,dev_maxdd,test_bets,test_euro,test_total,test_maxdd
0.0,638,1.0076025586495854,1.3961871196918594,-0.2744116583034558,490,1.0104025054759374,1.5962002380778753,-0.2657671465931072
0.1,643,1.0076280463165521,1.3729881599597373,-0.2719833905825704,498,1.006804755824616,1.134109626497744,-0.27833169091039267
0.2,665,1.007044403619837,1.3079020514918787,-0.27901973158798365,511,1.0098926293321018,1.565954926476682,-0.2860792112530034
0.25,686,1.0055698648432936,1.0977531717965228,-0.2357228018626608,516,1.010270601983569,1.4769107175919434,-0.3196793208330583
0.33,693,1.0072197416207496,1.389335230520715,-0.2219272898051191,530,1.009116507875602,1.3627093329307023,-0.3056933650155206
0.4,699,1.0072095135553836,1.3861688941831538,-0.22898577467357994,541,1.0069786858049736,1.0663149316645066,-0.3032294339317134
0.5,698,1.0082415272527423,1.4838192966834014,-0.24123308110770947,532,1.0108060224859663,1.46826097546418,-0.2305554832447252
0.6,702,1.0079777403527355,1.4219296873503962,-0.26237469463593166,538,1.0098731474095242,1.3641519294340254,-0.25941653656554153
0.67,702,1.0079474065023046,1.4012318821150336,-0.2617216105350525,536,1.0098399814399153,1.3223814009271528,-0.25468682047242164
0.75,702,1.0078877064972358,1.3780273056898649,-0.26104748711763714,538,1.009220594923147,1.2393361689665499,-0.2488446484196718
0.9,703,1.0077102880707987,1.328574950518492,-0.25953711161481186,539,1.0084499146040675,1.142984159834727,-0.23844401453494302
1.0,703,1.0075098283463315,1.2961491861597496,-0.25874816804204104,539,1.0075378323836954,1.0407000052547186,-0.23077852095742313
